15 2096 7243
0 0 -0.337293 -0.363704
1 0 -0.298652 -0.408789
0 1 -0.19708 -0.245826
1 1 -0.168908 -0.292447
0 2 -0.191854 -0.224099
1 2 -0.164071 -0.271261
0 3 -0.191672 -0.241113
1 3 -0.163935 -0.287627
0 4 -0.185205 -0.235375
1 4 -0.157613 -0.281987
0 5 -0.183793 -0.226496
1 5 -0.156209 -0.273345
0 6 -0.177797 -0.229763
1 6 -0.150298 -0.276101
0 7 -0.167431 -0.204553
1 7 -0.140901 -0.251868
0 8 -0.166242 -0.216523
1 8 -0.140543 -0.262628
0 9 -0.166242 -0.216523
1 9 -0.140543 -0.262628
0 10 -0.149861 -0.183065
1 10 -0.125454 -0.231435
0 11 -0.146469 -0.224763
1 11 -0.1202 -0.268771
0 12 -0.144093 -0.183328
1 12 -0.119313 -0.230881
0 13 -0.124347 -0.195972
1 13 -0.0997776 -0.24101
0 14 -0.123069 -0.206541
1 14 -0.0974855 -0.250388
0 15 -0.123027 -0.185177
1 15 -0.098915 -0.230939
0 16 -0.12175 -0.0404108
1 16 -0.0993004 -0.0838103
0 17 -0.119981 -0.162439
1 17 -0.0962623 -0.209748
0 18 -0.118101 0.0776977
1 18 -0.0992988 -0.0754377
0 19 -0.111355 -0.186422
1 19 -0.087107 -0.230461
0 20 -0.11071 -0.00607371
1 20 -0.0902159 -0.0542645
0 21 -0.10732 -0.0266679
1 21 -0.0870441 -0.0749274
0 22 -0.107023 0.00269668
1 22 -0.0867049 -0.0469767
0 23 -0.105603 -0.0139791
1 23 -0.0848691 -0.0616479
0 24 -0.10022 -0.0167633
1 24 -0.0794486 -0.063158
0 25 -0.0994175 0.089669
1 25 -0.0847779 0.0160911
0 26 -0.0961147 -0.035964
1 26 -0.0783853 -0.0824027
0 27 -0.0949154 -0.138916
1 27 -0.0731511 -0.186767
0 28 -0.0859486 -0.128223
1 28 -0.0648565 -0.175897
0 29 -0.0837349 0.0374291
1 29 -0.0654919 -0.0142683
0 30 -0.0820633 -0.0119009
1 30 -0.0602772 -0.0525629
0 30 -0.0817769 -0.0132685
0 31 -0.0805329 -0.00460447
1 31 -0.0584033 -0.0433053
0 32 -0.0746177 0.163873
1 32 -0.0561748 0.121733
0 33 -0.0737955 -0.11615
1 33 -0.0529961 -0.16383
0 34 -0.0732932 -0.0446171
1 34 -0.0514118 -0.0853911
0 35 -0.0732932 -0.0446171
1 35 -0.0514118 -0.0853911
0 36 -0.0725093 0.0340012
1 36 -0.0517865 -0.00415598
0 37 -0.0721337 0.00981295
1 37 -0.050034 -0.0277476
0 38 -0.0709098 -0.150158
1 38 -0.0472166 -0.193109
